	"Cancer Sites"	"Cancer Sites Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count	Population	Crude Rate
	"Other Leukemias"	"35041-35043"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Leukemias"	"35041-35043"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	204438	0.00
	"Other Leukemias"	"35041-35043"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	740774	Suppressed
	"Other Leukemias"	"35041-35043"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1937758	Suppressed
	"Other Leukemias"	"35041-35043"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	19	8803235	0.22
	"Other Leukemias"	"35041-35043"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Other Leukemias"	"35041-35043"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	167764	0.00
	"Other Leukemias"	"35041-35043"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	801076	Suppressed
	"Other Leukemias"	"35041-35043"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1638249	Suppressed
	"Other Leukemias"	"35041-35043"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	30	8031834	0.37
	"Other Leukemias"	"35041-35043"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Other Leukemias"	"35041-35043"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	182631	0.00
	"Other Leukemias"	"35041-35043"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	764751	Suppressed
	"Other Leukemias"	"35041-35043"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1568287	Suppressed
	"Other Leukemias"	"35041-35043"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	26	8421544	0.31
	"Other Leukemias"	"35041-35043"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Other Leukemias"	"35041-35043"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	192436	0.00
	"Other Leukemias"	"35041-35043"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	723705	Suppressed
	"Other Leukemias"	"35041-35043"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1918919	Suppressed
	"Other Leukemias"	"35041-35043"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	17	8324411	0.20
	"Other Leukemias"	"35041-35043"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Other Leukemias"	"35041-35043"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	205137	0.00
	"Other Leukemias"	"35041-35043"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	751654	Suppressed
	"Other Leukemias"	"35041-35043"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1967515	Suppressed
	"Other Leukemias"	"35041-35043"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	24	8808541	0.27
	"Other Leukemias"	"35041-35043"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Other Leukemias"	"35041-35043"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	Suppressed	170689	Suppressed
	"Other Leukemias"	"35041-35043"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	830936	0.00
	"Other Leukemias"	"35041-35043"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1697158	Suppressed
	"Other Leukemias"	"35041-35043"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	22	8112408	0.27
	"Other Leukemias"	"35041-35043"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Other Leukemias"	"35041-35043"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	186463	0.00
	"Other Leukemias"	"35041-35043"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	796837	Suppressed
	"Other Leukemias"	"35041-35043"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1641795	Suppressed
	"Other Leukemias"	"35041-35043"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	37	8519885	0.43
	"Other Leukemias"	"35041-35043"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Other Leukemias"	"35041-35043"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	191744	0.00
	"Other Leukemias"	"35041-35043"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	730700	Suppressed
	"Other Leukemias"	"35041-35043"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1892436	Suppressed
	"Other Leukemias"	"35041-35043"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	20	8233212	0.24
	"Other Leukemias"	"35041-35043"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Other Leukemias"	"35041-35043"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	203054	0.00
	"Other Leukemias"	"35041-35043"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	758250	Suppressed
	"Other Leukemias"	"35041-35043"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1954931	Suppressed
	"Other Leukemias"	"35041-35043"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	16	8728699	0.18
	"Other Leukemias"	"35041-35043"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Leukemias"	"35041-35043"	"2015"	"2015"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	175082	0.00
	"Other Leukemias"	"35041-35043"	"2015"	"2015"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	861557	Suppressed
	"Other Leukemias"	"35041-35043"	"2015"	"2015"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1767592	Suppressed
	"Other Leukemias"	"35041-35043"	"2015"	"2015"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	25	8218027	0.30
	"Other Leukemias"	"35041-35043"	"2015"	"2015"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Other Leukemias"	"35041-35043"	"2015"	"2015"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	Suppressed	191395	Suppressed
	"Other Leukemias"	"35041-35043"	"2015"	"2015"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	831042	Suppressed
	"Other Leukemias"	"35041-35043"	"2015"	"2015"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1727399	Suppressed
	"Other Leukemias"	"35041-35043"	"2015"	"2015"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	27	8629074	0.31
	"Other Leukemias"	"35041-35043"	"2015"	"2015"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Lymphocytic Leukemia"	"35013"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	174104	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	659089	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1729210	Suppressed
	"Other Lymphocytic Leukemia"	"35013"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	0	8068476	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Lymphocytic Leukemia"	"35013"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	190981	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	675384	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	0	1694914	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	0	8512391	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Other Lymphocytic Leukemia"	"35013"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	164345	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	753885	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	0	1574098	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	Suppressed	7990881	Suppressed
	"Other Lymphocytic Leukemia"	"35013"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Lymphocytic Leukemia"	"35013"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	176402	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	695648	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1460639	Suppressed
	"Other Lymphocytic Leukemia"	"35013"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	Suppressed	8329334	Suppressed
	"Other Lymphocytic Leukemia"	"35013"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Lymphocytic Leukemia"	"35013"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	179574	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	685056	Suppressed
	"Other Lymphocytic Leukemia"	"35013"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	0	1802545	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	0	8192397	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Lymphocytic Leukemia"	"35013"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	195917	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	701969	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	0	1785843	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	Suppressed	8625852	Suppressed
	"Other Lymphocytic Leukemia"	"35013"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Lymphocytic Leukemia"	"35013"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	165397	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	770496	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	0	1588857	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	0	8012850	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Lymphocytic Leukemia"	"35013"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	178562	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	720044	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	0	1488070	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	Suppressed	8363715	Suppressed
	"Other Lymphocytic Leukemia"	"35013"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Lymphocytic Leukemia"	"35013"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	185609	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	704395	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	0	1865524	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	Suppressed	8294123	Suppressed
	"Other Lymphocytic Leukemia"	"35013"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Lymphocytic Leukemia"	"35013"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	201645	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	725391	Suppressed
	"Other Lymphocytic Leukemia"	"35013"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	0	1873092	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	Suppressed	8749568	Suppressed
	"Other Lymphocytic Leukemia"	"35013"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Lymphocytic Leukemia"	"35013"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	166441	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	783164	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	0	1607122	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	Suppressed	8008879	Suppressed
	"Other Lymphocytic Leukemia"	"35013"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Lymphocytic Leukemia"	"35013"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	180356	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	740179	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1522044	Suppressed
	"Other Lymphocytic Leukemia"	"35013"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	Suppressed	8384889	Suppressed
	"Other Lymphocytic Leukemia"	"35013"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Lymphocytic Leukemia"	"35013"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	189687	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	715732	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1906528	Suppressed
	"Other Lymphocytic Leukemia"	"35013"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	Suppressed	8327632	Suppressed
	"Other Lymphocytic Leukemia"	"35013"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Lymphocytic Leukemia"	"35013"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	204438	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	740774	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	0	1937758	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	Suppressed	8803235	Suppressed
	"Other Lymphocytic Leukemia"	"35013"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Lymphocytic Leukemia"	"35013"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	167764	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	801076	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	0	1638249	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	Suppressed	8031834	Suppressed
	"Other Lymphocytic Leukemia"	"35013"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Lymphocytic Leukemia"	"35013"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	182631	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	764751	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	0	1568287	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	Suppressed	8421544	Suppressed
	"Other Lymphocytic Leukemia"	"35013"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Other Lymphocytic Leukemia"	"35013"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	192436	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	723705	Suppressed
	"Other Lymphocytic Leukemia"	"35013"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	0	1918919	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	0	8324411	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Lymphocytic Leukemia"	"35013"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	205137	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	751654	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	0	1967515	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	Suppressed	8808541	Suppressed
	"Other Lymphocytic Leukemia"	"35013"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Lymphocytic Leukemia"	"35013"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	Suppressed	170689	Suppressed
	"Other Lymphocytic Leukemia"	"35013"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	830936	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1697158	Suppressed
	"Other Lymphocytic Leukemia"	"35013"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	Suppressed	8112408	Suppressed
	"Other Lymphocytic Leukemia"	"35013"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Lymphocytic Leukemia"	"35013"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	186463	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	796837	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	0	1641795	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	Suppressed	8519885	Suppressed
	"Other Lymphocytic Leukemia"	"35013"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Lymphocytic Leukemia"	"35013"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	191744	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	730700	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	0	1892436	0.00
	"Other Lymphocytic Leukemia"	"35013"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	Suppressed	8233212	Suppressed
	"Other Lymphocytic Leukemia"	"35013"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Lymphocytic Leukemia"	"35013"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	203054	0.00
